# Min Max
2.736909067849036001e+04 8.628442919960238039e+07
3.273464373398568932e+04 1.818115274381107464e+07
2.534451436939584892e+04 9.485944799529492855e+06
2.442595576684962725e+04 5.869006260068530217e+06
2.003724711201983155e+04 3.444458384774893057e+06
1.790461952116284738e+04 2.228947973777738400e+06
1.477752904362379559e+04 1.260879066271153511e+06
1.111516414497858568e+04 8.817401597790644737e+05
1.200630865811395233e+04 6.592551938028852455e+05
8.953690765574088800e+03 5.366014876379074994e+05
9.437376759314100127e+03 5.498135062446830561e+05
9.109968308785786576e+03 5.678998204659392359e+05
8.213505998433236527e+03 5.611716705630434444e+05
7.740165080401702653e+03 4.776038381242480827e+05
7.791293086213224342e+03 4.158990082211185363e+05
7.399364971574366791e+03 4.094378114757118747e+05
6.803949289179182415e+03 3.811706397070394596e+05
6.442068993286181467e+03 3.546217279556121794e+05
5.972135441982925840e+03 3.192407353327070014e+05
6.047603946240431469e+03 2.889855615267850226e+05
5.701238164532719566e+03 2.600361007460282126e+05
5.400992709708867551e+03 2.420120107561462210e+05
5.284345736099610804e+03 2.429150562012303562e+05
5.013043112370489325e+03 2.314615941473270068e+05
5.007352193711568361e+03 2.169486545674931840e+05
4.762752164189604628e+03 2.087724686184156162e+05
4.910987463283899160e+03 1.978035838224422478e+05
4.545222571395500381e+03 1.906286214997869683e+05
4.514527157800543137e+03 1.869811238546210807e+05
4.487607245048499863e+03 1.776293769117052434e+05
4.337648844573738643e+03 1.769579154091815872e+05
4.187386900037031410e+03 1.692794074546654301e+05
3.996125820339872462e+03 1.615363525797142356e+05
4.004830700712857379e+03 1.593801900235850189e+05
3.884367288001343695e+03 1.520500946950332145e+05
3.852499826095420758e+03 1.495659861906851002e+05
3.772664798151534342e+03 1.483716007643868797e+05
3.702323432958875856e+03 1.448862819292280183e+05
3.743222233139431410e+03 1.427724815475943324e+05
3.618792458645958959e+03 1.423246853604036442e+05
3.611202927585034558e+03 1.367085647530484421e+05
3.477404724541654105e+03 1.348459861437138461e+05
3.477116001085841162e+03 1.303865193300975079e+05
3.402308138347759723e+03 1.285572091187021579e+05
3.370314591746603128e+03 1.282119246900758008e+05
3.337933992671133183e+03 1.264656087586585345e+05
3.241146795842870233e+03 1.231316707943085057e+05
3.297866090735688886e+03 1.221000728014161432e+05
3.222091987809799321e+03 1.199259080979310820e+05
3.190438828411133272e+03 1.165017338125472743e+05
3.219749411514969779e+03 1.151299854492162558e+05
3.177252886998396662e+03 1.144834338119164895e+05
3.135613709615760854e+03 1.121391215335238667e+05
3.101417266841250239e+03 1.108300452427155542e+05
3.093269447558039701e+03 1.087425514862182026e+05
3.042479937448528744e+03 1.075837441215944127e+05
2.978509326709373454e+03 1.065762095618514140e+05
3.019183246515435258e+03 1.044950565337450389e+05
2.957070692254726964e+03 1.040253427879687370e+05
2.916220322340035182e+03 1.024723100002504070e+05
2.944927433783570450e+03 1.015604543924899335e+05
2.890398953855343279e+03 1.002031645251167356e+05
2.924968341158075873e+03 9.929254237708817527e+04
2.834995218956731605e+03 9.579424509116694389e+04
2.830175684432752405e+03 9.598248664563067723e+04
2.834622835036230754e+03 9.375423916305275634e+04
2.839159456783506812e+03 9.315855289649788756e+04
2.801192390451808933e+03 9.270190582522719342e+04
2.792110956657479619e+03 9.212341382269935275e+04
2.765041909897774985e+03 9.085887226121475396e+04
2.780159998883094431e+03 9.008521692240485572e+04
2.730747973316172647e+03 8.948048893851735920e+04
2.704269964812042417e+03 8.745199844703984854e+04
2.731764980472780735e+03 8.657797612051380565e+04
2.698287677177555452e+03 8.650670198584362515e+04
2.686750745810159060e+03 8.564902868878003210e+04
2.675979870963968096e+03 8.494942930850102857e+04
2.679042214583042551e+03 8.407514836467432906e+04
2.648894596520875893e+03 8.375380326521710958e+04
4.356001891261931935e-02 5.429581921723293236e-01
2.400386065926152224e-02 7.598199033188934859e-02
4.732216145321654355e-01 9.446189756960193806e-01
7.672413181570493235e-01 1.222150714602520116e+00
5.466561303040514685e-01 1.050184661929855157e+00
